Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
CNN,PM2.5,0.004915808040984507,0.058383758291505515,0.07011282365576577,0.3202279043318561,inf,0.042061598029449296,55.566584694321875
CNN,PM10,0.011837608468806594,0.0832447644076826,0.10880077421051099,0.30207294952415675,38.105281038648755,0.006112121353049528,30.881782884060087
CNN,SO2,0.054659960741399505,0.18556616110594334,0.23379469784706305,0.6538351619470029,123.17120817786954,-0.13521402053220408,53.96661402907251
CNN,CO,0.006569057071746701,0.06412874935730972,0.08104971975119162,0.7505139487467062,inf,-0.0038658090537239905,30.76139043680159
CNN,O3,0.07428055681351414,0.23121735236396834,0.2725445960086425,0.5351023270996644,161.11058827623876,-0.14324994940623162,57.936613079702404
CNN,NO2,0.004768336876473045,0.05669105745355009,0.06905314530470748,-0.487090948062882,inf,0.028315605468522898,73.95032760389421
CNN_Attention,PM2.5,0.005682189510099674,0.06417986253242357,0.0753802992173663,0.2142504672557508,inf,0.04876064163147657,58.83710085334383
CNN_Attention,PM10,0.013508136466283916,0.08822033201468574,0.1162245088881167,0.203581207624688,39.382395923760065,0.009542077328374548,32.371345578551754
CNN_Attention,SO2,0.050592943803254645,0.18128583426744893,0.22492875272684604,0.6795918262522043,156.84161840496304,-0.11553100277458632,55.16260867378929
CNN_Attention,CO,0.008572806427828185,0.07233267122939246,0.09258945095327105,0.6744136029755932,inf,-0.032946293305871094,38.59762568247509
CNN_Attention,O3,0.047166599741219555,0.1805524687228211,0.21717872764435184,0.7047997026548249,167.11030658348162,-0.0846045249688674,48.579531361283266
CNN_Attention,NO2,0.0016015998586041444,0.029962446863128316,0.04001999323593326,0.5005125028182394,inf,0.005182029647089542,48.55241680893449
RNN,PM2.5,0.009054032745644687,0.07829200672499888,0.09515268123203195,-0.25201772779603226,inf,0.06924613134691919,62.431993447899174
RNN,PM10,0.010786091598792295,0.07675319165869456,0.10385611006961648,0.3640687546353437,30.99951148837501,-0.01657939630134293,28.57455685419977
RNN,SO2,0.023372703024682123,0.11499203008121033,0.15288133641711182,0.8519792578030174,105.89694000682132,-0.05955073397990525,41.81835788476671
RNN,CO,0.010512303932524027,0.08140633447451509,0.10252952712523367,0.6007534766321452,inf,-0.03869920673335853,55.555194284648046
RNN,O3,0.042057549381788975,0.1695837624931679,0.20507937336989543,0.7367755752750713,119.55931206551429,-0.10670553303696495,50.711119107208226
RNN,NO2,0.004099042250234554,0.052270126890846064,0.06402376316833114,-0.27835947500417135,inf,0.03179967444804932,65.22901708815753
RNN_Attention,PM2.5,0.0034573092346446882,0.047536714632920515,0.05879888803918564,0.5219133204118022,inf,0.030392410628200396,48.54830163200048
RNN_Attention,PM10,0.009979829078478167,0.07619485125731272,0.0998990944827738,0.4116047433610114,33.59219340952851,0.009674100029854318,28.032127862407513
RNN_Attention,SO2,0.016290477232954927,0.08432660268181168,0.12763415386547178,0.8968314221843056,87.01306595156014,-0.03460366531512528,37.440209452621204
RNN_Attention,CO,0.00880595801976766,0.07260781224648538,0.0938400661752093,0.6655587446022997,inf,-0.04192103800273105,47.080502716988356
RNN_Attention,O3,0.026768462870396508,0.12245625345998905,0.16361070524387,0.8324649594804561,99.74650054930194,-0.05590804049316039,37.33319952547984
RNN_Attention,NO2,0.001144520242552386,0.024838136960042275,0.03383075882318317,0.6430609378770873,inf,-0.005198135568871541,42.62279232109159
GRU,PM2.5,0.004415771161607251,0.05531091345247638,0.06645126907446727,0.3893744443455628,inf,0.04161753027956463,53.51588488065785
GRU,PM10,0.010309428015787046,0.07670144966852638,0.10153535352667585,0.39217210079962517,33.50223111194581,0.01256283272311589,28.161932567472277
GRU,SO2,0.027406425031870723,0.12797405868748893,0.16554885995340082,0.8264334523097532,101.92190493621113,-0.08144314402537767,43.99701590086695
GRU,CO,0.006571138948201954,0.06206659074586894,0.0810625619395412,0.7504348812138251,inf,-0.023640730619833957,32.668989654787936
GRU,O3,0.031759641815005374,0.14660078386512768,0.17821235034364305,0.8012268054342595,133.88550680100934,-0.07562479121146864,44.233180444876496
GRU,NO2,0.0026434339577259686,0.04202154430739245,0.05141433611091335,0.17559794700496156,inf,-0.02724535907919567,93.41791899500429
GRU_Attention,PM2.5,0.002517290070975306,0.03726143202186529,0.050172602792513225,0.6519018780463223,inf,0.0049796856194522015,42.247633583355004
GRU_Attention,PM10,0.010044048518869305,0.07387536900764725,0.10022000059304183,0.40781846467697636,30.075475463301128,-0.008368447667416038,27.295758207119324
GRU_Attention,SO2,0.0181359357524597,0.09668241765409703,0.13466972841904634,0.885144021738479,93.11355334445955,-0.04984585858015,39.45055741364905
GRU_Attention,CO,0.006398868405124338,0.061728489507889756,0.0799929272193757,0.75697753978267,inf,-0.020168116155587393,32.27872035034671
GRU_Attention,O3,0.02930707744230791,0.13677433460301847,0.17119309986768716,0.8165766024527155,114.55504380886417,-0.07202052137919947,41.428003386668834
GRU_Attention,NO2,0.0031194544271903996,0.04637250947906627,0.055852076301516305,0.02714246880124982,inf,-0.03976899451851169,109.08155007827649
LSTM,PM2.5,0.005975298808417318,0.06433285344464688,0.07730005697551146,0.17371846919642464,inf,0.052466295178854906,57.649983363902166
LSTM,PM10,0.01093819784328585,0.07849289847565254,0.10458583959258466,0.3551008061803762,33.51315551760446,0.002774910342968732,28.907804132712155
LSTM,SO2,0.03953901028767871,0.15848892297052075,0.198844185953924,0.7495970559187846,131.06288290497926,-0.10881684606649261,50.383735646380096
LSTM,CO,0.006054258688730155,0.05993354783014314,0.07780911700263765,0.7700654634264574,inf,0.006856670073899427,29.538843961895754
LSTM,O3,0.0260102679186381,0.12470694822533901,0.1612769912871582,0.8372102533204336,113.4384580119821,-0.05848146156720338,38.73532023763903
LSTM,NO2,0.001137161182300573,0.024945623286478653,0.033721820566223484,0.6453559921423839,inf,-0.011392471067925567,47.42336494661989
LSTM_Attention,PM2.5,0.005572166333515941,0.06093803545188051,0.07464694456919145,0.2294647890304904,inf,0.050646457814728214,55.58352247246391
LSTM_Attention,PM10,0.011702441564114765,0.08511359730024746,0.1081778238092945,0.310042180755457,39.67134299403963,0.03562738018295225,30.94345545332235
LSTM_Attention,SO2,0.03416037265511163,0.14508966238530954,0.1848252489653717,0.783660293428817,99.10684436124423,-0.10684227897677986,47.111690570521525
LSTM_Attention,CO,0.00654635268631951,0.061288340167661,0.08090953396429564,0.7513762380227007,inf,-0.01495960819927132,30.031601498883422
LSTM_Attention,O3,0.029561232997495798,0.13480411069437537,0.17193380411511808,0.8149859260869178,104.23320235394415,-0.07464033966765295,40.21550385118794
LSTM_Attention,NO2,0.0012695320383853612,0.025599377802004494,0.035630493097701596,0.6040737784543646,inf,-0.0049622761822831285,46.354769497344186
SARIMA,PM2.5,137.9655804116386,10.536175110796522,11.745875038141628,-19077.277862881863,inf,10.536175110796522,195.9253888250127
ResNet,PM2.5,0.004958137860891015,0.05329116178897805,0.07041404590627509,0.314374414906069,inf,-0.00436664106429921,58.43756624941784
ResNet,PM10,0.011997797016599601,0.08535341267021547,0.10953445584198426,0.29262848099186933,37.51135108893924,0.008229396458217951,32.64845384980612
ResNet,SO2,0.08417069805332399,0.23176026124679577,0.29012186758899094,0.46694187728590375,159.71157061050874,-0.1604565869219601,64.2773585946119
ResNet,CO,0.008529242746331163,0.07462450759882487,0.09235389946467427,0.6760681069258623,inf,0.02734292845815367,35.24869157635585
ResNet,O3,0.07607735972078375,0.23119057096950751,0.2758212459561151,0.5238567262845366,166.83694659856377,-0.13871596061609345,57.88260833810189
ResNet,NO2,0.018885767641567443,0.11348935826440523,0.13742549851307595,-4.889863664114083,inf,0.10796353951554526,86.54736763684369
ResNet_Attention,PM2.5,0.005945198823896052,0.06244503068812675,0.07710511541976998,0.17788078175765765,inf,0.04255265956621699,58.90685113092037
ResNet_Attention,PM10,0.011428378066120183,0.08095834783525231,0.10690359239108937,0.3262005398786265,37.74774975209127,0.01439577633975778,30.20815569535121
ResNet_Attention,SO2,0.047363883256721064,0.1723960406736473,0.21763244991664515,0.7000416620368008,119.30015783224745,-0.125638809050392,51.555452841254876
ResNet_Attention,CO,0.013920319025769248,0.09553666707867753,0.11798440162059241,0.4713205581875356,inf,0.06467146069971445,41.82057745748336
ResNet_Attention,O3,0.024404733764644537,0.1043986413660507,0.15622014519467242,0.8472587656630043,139.59388770737434,0.03351427934147759,38.54661631107183
ResNet_Attention,NO2,0.010555662443653772,0.08549124363591011,0.10274075356767524,-2.291971703638415,inf,0.07690947709166258,76.69462924561556
RexNet,PM2.5,0.07998510402333324,0.23676792282238424,0.2828163786334399,-10.060570577789793,inf,0.231091398131426,105.89718480615078
RexNet,PM10,0.08083518749519482,0.22778926717717182,0.2843152959219655,-3.7659173837222513,108.52464997987981,0.18230377713403165,60.86852142224882
RexNet,SO2,0.11713691207253872,0.2728482383781249,0.3422527020675494,0.2581648495969935,184.62333450419533,-0.21405456156465744,74.33710285367559
RexNet,CO,0.24133726235701844,0.36508441203138986,0.49126089031900194,-8.165741741641302,inf,0.33331136925133237,77.40373004693603
RexNet,O3,0.14469962515424317,0.30585082067331076,0.3803940393253332,0.09437244563681402,158.1189427187422,-0.23750653546943643,73.8946514859733
RexNet,NO2,0.029896885841786087,0.13761250903908526,0.172907159602447,-8.32387737325185,inf,0.13145312623992755,90.57100025202419
RexNet_Attention,PM2.5,0.016222308918496412,0.09698690823146172,0.12736682817160994,-1.2432676048704727,inf,-0.0641131163552547,113.53449037427336
RexNet_Attention,PM10,0.034022232586364734,0.13745941362078481,0.18445116585797103,-1.005898108741766,51.749334365928256,-0.09828207117837942,63.32830088371632
RexNet_Attention,SO2,0.1017958657797634,0.2516701507499915,0.31905464387744525,0.35532062383229956,197.24182722548557,-0.16946161450365627,70.0592456385258
RexNet_Attention,CO,0.04735304372253794,0.1728433274638997,0.21760754518751857,-0.798420041739607,inf,0.10319062486761094,58.37043995980045
RexNet_Attention,O3,0.09628878526130925,0.2573645391903411,0.3103043429623718,0.3973600345139222,201.94635532875895,-0.14546075942358971,65.50916618989015
RexNet_Attention,NO2,0.03877715567441706,0.15424267079390447,0.19691916025216302,-11.093347993001602,inf,-0.12299116996883462,136.18309295394636
